Graph Size,Algorithm,Total Cost,Optimal Cost,Cost Difference,CPU Time,Real Time
55,simulated_annealing,3109.0,3025,84.0,0.02361300000000001,0.023916006088256836
55,genetic_algorithm,3221.0,3025,196.0,25.163942,25.535715103149414
55,hill_climbing,3162.0,3025,137.0,0.0071380000000000055,0.007217884063720703
55,simulated_annealing,3113.0,3025,88.0,0.023271000000000014,0.023518085479736328
55,genetic_algorithm,3229.0,3025,204.0,25.052705,25.272139072418213
55,hill_climbing,3103.0,3025,78.0,0.014851000000000003,0.015027046203613281
55,simulated_annealing,3102.0,3025,77.0,0.023410999999999987,0.02358388900756836
55,genetic_algorithm,3214.0,3025,189.0,25.050929,25.256416082382202
55,hill_climbing,3192.0,3025,167.0,0.008561000000000013,0.008718729019165039
55,simulated_annealing,3100.0,3025,75.0,0.023250999999999994,0.02335977554321289
55,genetic_algorithm,3222.0,3025,197.0,25.017338,25.22265863418579
55,hill_climbing,3191.0,3025,166.0,0.0060059999999999975,0.0060689449310302734
55,simulated_annealing,3103.0,3025,78.0,0.023755000000000012,0.0239410400390625
55,genetic_algorithm,3219.0,3025,194.0,25.106361,25.336708784103394
60,hill_climbing,3757.0,3600,157.0,0.009107000000000004,0.009177207946777344
60,simulated_annealing,3709.0,3600,109.0,0.024839,0.024975061416625977
60,genetic_algorithm,3816.0,3600,216.0,27.456864,27.680320024490356
60,hill_climbing,3743.0,3600,143.0,0.012296000000000001,0.012394905090332031
60,simulated_annealing,3696.0,3600,96.0,0.025085999999999997,0.025207996368408203
60,genetic_algorithm,3807.0,3600,207.0,27.305739000000003,27.562785863876343
60,hill_climbing,3718.0,3600,118.0,0.017550999999999983,0.017638206481933594
60,simulated_annealing,3682.0,3600,82.0,0.02509800000000001,0.02527618408203125
60,genetic_algorithm,3840.0,3600,240.0,27.508481999999997,27.818437099456787
60,hill_climbing,3727.0,3600,127.0,0.012434000000000014,0.012468099594116211
60,simulated_annealing,3702.0,3600,102.0,0.02476600000000001,0.02492380142211914
60,genetic_algorithm,3819.0,3600,219.0,27.287096,27.55545687675476
60,hill_climbing,3761.0,3600,161.0,0.009155999999999997,0.009182929992675781
60,simulated_annealing,3694.0,3600,94.0,0.025113999999999984,0.025304079055786133
60,genetic_algorithm,3820.0,3600,220.0,27.482473000000002,27.792773962020874
65,hill_climbing,4362.0,4225,137.0,0.015909000000000006,0.01598381996154785
65,simulated_annealing,4318.0,4225,93.0,0.02715200000000001,0.027409791946411133
65,genetic_algorithm,4464.0,4225,239.0,29.635938,29.866549015045166
65,hill_climbing,4412.0,4225,187.0,0.011439000000000005,0.011497974395751953
65,simulated_annealing,4337.0,4225,112.0,0.02699399999999999,0.027184724807739258
65,genetic_algorithm,4463.0,4225,238.0,29.488073999999997,29.709657669067383
65,hill_climbing,4424.0,4225,199.0,0.008511999999999992,0.008548736572265625
65,simulated_annealing,4324.0,4225,99.0,0.027343000000000006,0.02762007713317871
65,genetic_algorithm,4500.0,4225,275.0,29.694297000000002,29.958688974380493
65,hill_climbing,4416.0,4225,191.0,0.010310000000000014,0.010359048843383789
65,simulated_annealing,4324.0,4225,99.0,0.027419,0.02782416343688965
65,genetic_algorithm,4478.0,4225,253.0,29.386669,29.595752954483032
65,hill_climbing,4376.0,4225,151.0,0.014673999999999993,0.01478886604309082
65,simulated_annealing,4327.0,4225,102.0,0.027360999999999996,0.027567148208618164
65,genetic_algorithm,4444.0,4225,219.0,29.771625,30.13264012336731
70,hill_climbing,5078.0,4900,178.0,0.014158000000000004,0.01416015625
70,simulated_annealing,5021.0,4900,121.0,0.02902099999999999,0.02945113182067871
70,genetic_algorithm,5153.0,4900,253.0,31.702029,31.952900648117065
70,hill_climbing,5076.0,4900,176.0,0.016663999999999998,0.01676797866821289
70,simulated_annealing,5017.0,4900,117.0,0.02813299999999999,0.028295278549194336
70,genetic_algorithm,5166.0,4900,266.0,31.655644,31.912096977233887
70,hill_climbing,5075.0,4900,175.0,0.01312400000000001,0.013199806213378906
70,simulated_annealing,5013.0,4900,113.0,0.028634999999999994,0.028831958770751953
70,genetic_algorithm,5138.0,4900,238.0,31.706841,32.06513500213623
70,hill_climbing,5062.0,4900,162.0,0.02184699999999999,0.02196192741394043
70,simulated_annealing,5026.0,4900,126.0,0.028178999999999982,0.028317928314208984
70,genetic_algorithm,5150.0,4900,250.0,31.895433,32.21802592277527
70,hill_climbing,5067.0,4900,167.0,0.021100999999999995,0.02121114730834961
70,simulated_annealing,5030.0,4900,130.0,0.028112999999999985,0.028298139572143555
70,genetic_algorithm,5164.0,4900,264.0,31.718097,32.02066993713379
75,hill_climbing,5791.0,5625,166.0,0.02738,0.02756500244140625
75,simulated_annealing,5749.0,5625,124.0,0.030277,0.03041386604309082
75,genetic_algorithm,5898.0,5625,273.0,34.156264,34.438528060913086
75,hill_climbing,5808.0,5625,183.0,0.020114999999999994,0.020238161087036133
75,simulated_annealing,5756.0,5625,131.0,0.03006600000000001,0.030251026153564453
75,genetic_algorithm,5907.0,5625,282.0,33.863077999999994,34.13722229003906
75,hill_climbing,5765.0,5625,140.0,0.02978800000000001,0.030282020568847656
75,simulated_annealing,5746.0,5625,121.0,0.030126999999999987,0.030419111251831055
75,genetic_algorithm,5904.0,5625,279.0,34.235679,34.597421169281006
75,hill_climbing,5838.0,5625,213.0,0.015048000000000006,0.015121936798095703
75,simulated_annealing,5758.0,5625,133.0,0.029601000000000016,0.029771089553833008
75,genetic_algorithm,5897.0,5625,272.0,33.929733999999996,34.20544791221619
75,hill_climbing,5797.0,5625,172.0,0.021144999999999997,0.02125096321105957
75,simulated_annealing,5740.0,5625,115.0,0.030219000000000024,0.030369997024536133
75,genetic_algorithm,5890.0,5625,265.0,34.061506,34.33686327934265
80,hill_climbing,6602.0,6400,202.0,0.022034999999999985,0.022192955017089844
80,simulated_annealing,6546.0,6400,146.0,0.03170199999999998,0.03193998336791992
80,genetic_algorithm,6728.0,6400,328.0,36.454137,36.76271605491638
80,hill_climbing,6664.0,6400,264.0,0.010276999999999994,0.01034688949584961
80,simulated_annealing,6532.0,6400,132.0,0.032129000000000005,0.0322418212890625
80,genetic_algorithm,6689.0,6400,289.0,36.215555,36.591350078582764
80,hill_climbing,6586.0,6400,186.0,0.02263499999999999,0.022770166397094727
80,simulated_annealing,6534.0,6400,134.0,0.031344999999999984,0.031456947326660156
80,genetic_algorithm,6720.0,6400,320.0,36.142770999999996,36.36460304260254
80,hill_climbing,6578.0,6400,178.0,0.025954999999999992,0.026103973388671875
80,simulated_annealing,6528.0,6400,128.0,0.031304,0.03148078918457031
80,genetic_algorithm,6671.0,6400,271.0,36.154965999999995,36.4628221988678
80,hill_climbing,6545.0,6400,145.0,0.034508,0.03466677665710449
80,simulated_annealing,6538.0,6400,138.0,0.031688999999999995,0.03192305564880371
80,genetic_algorithm,6695.0,6400,295.0,36.358768,36.6474130153656
85,hill_climbing,7412.0,7225,187.0,0.037196999999999994,0.03745007514953613
85,simulated_annealing,7387.0,7225,162.0,0.033187999999999995,0.033393144607543945
85,genetic_algorithm,7554.0,7225,329.0,38.411849,38.86564779281616
85,hill_climbing,7415.0,7225,190.0,0.035573999999999995,0.035623788833618164
85,simulated_annealing,7384.0,7225,159.0,0.032920000000000005,0.03295612335205078
85,genetic_algorithm,7516.0,7225,291.0,38.354812,38.79517102241516
85,hill_climbing,7488.0,7225,263.0,0.025775999999999993,0.02593994140625
85,simulated_annealing,7375.0,7225,150.0,0.03318299999999999,0.03356790542602539
85,genetic_algorithm,7541.0,7225,316.0,38.419273000000004,38.73033809661865
85,hill_climbing,7418.0,7225,193.0,0.026732999999999993,0.026860952377319336
85,simulated_annealing,7360.0,7225,135.0,0.033307,0.033514976501464844
85,genetic_algorithm,7540.0,7225,315.0,38.327881,38.620288133621216
85,hill_climbing,7459.0,7225,234.0,0.028243000000000004,0.02840900421142578
85,simulated_annealing,7380.0,7225,155.0,0.03342700000000001,0.03365206718444824
85,genetic_algorithm,7560.0,7225,335.0,38.600487,38.96210193634033
90,hill_climbing,8311.0,8100,211.0,0.040534000000000014,0.040734052658081055
90,simulated_annealing,8270.0,8100,170.0,0.03467799999999999,0.03497195243835449
90,genetic_algorithm,8437.0,8100,337.0,40.876936,41.27124905586243
90,hill_climbing,8310.0,8100,210.0,0.02750799999999999,0.02767205238342285
90,simulated_annealing,8262.0,8100,162.0,0.03454499999999999,0.03483009338378906
90,genetic_algorithm,8449.0,8100,349.0,40.57758,40.894861698150635
90,hill_climbing,8328.0,8100,228.0,0.035348000000000004,0.03579306602478027
90,simulated_annealing,8261.0,8100,161.0,0.03495400000000001,0.0352931022644043
90,genetic_algorithm,8449.0,8100,349.0,40.896289,41.29025387763977
90,hill_climbing,8387.0,8100,287.0,0.015382999999999994,0.01553201675415039
90,simulated_annealing,8223.0,8100,123.0,0.03492500000000001,0.03520369529724121
90,genetic_algorithm,8454.0,8100,354.0,40.995482,41.7131712436676
90,hill_climbing,8319.0,8100,219.0,0.032025000000000026,0.03223776817321777
90,simulated_annealing,8249.0,8100,149.0,0.03476399999999999,0.035118818283081055
90,genetic_algorithm,8424.0,8100,324.0,40.813404,41.18758797645569
95,hill_climbing,9260.0,9025,235.0,0.039662,0.039810895919799805
95,simulated_annealing,9184.0,9025,159.0,0.03611500000000001,0.03630518913269043
95,genetic_algorithm,9413.0,9025,388.0,43.508192,44.92690587043762
95,hill_climbing,9268.0,9025,243.0,0.03917499999999999,0.039466142654418945
95,simulated_annealing,9196.0,9025,171.0,0.03728500000000001,0.03783988952636719
95,genetic_algorithm,9382.0,9025,357.0,43.808144,45.27280926704407
95,hill_climbing,9296.0,9025,271.0,0.025989999999999985,0.026386022567749023
95,simulated_annealing,9196.0,9025,171.0,0.036250000000000004,0.03660297393798828
95,genetic_algorithm,9394.0,9025,369.0,43.124230000000004,43.58271598815918
95,hill_climbing,9232.0,9025,207.0,0.056291999999999995,0.057623863220214844
95,simulated_annealing,9185.0,9025,160.0,0.03737099999999999,0.03767824172973633
95,genetic_algorithm,9371.0,9025,346.0,43.110527,43.62381386756897
95,hill_climbing,9241.0,9025,216.0,0.04163399999999999,0.04184293746948242
95,simulated_annealing,9188.0,9025,163.0,0.037094000000000016,0.03725886344909668
95,genetic_algorithm,9416.0,9025,391.0,43.076289,43.61659002304077
100,hill_climbing,10237.0,10000,237.0,0.04788600000000001,0.04803824424743652
100,simulated_annealing,10183.0,10000,183.0,0.03816499999999998,0.03854513168334961
100,genetic_algorithm,10353.0,10000,353.0,45.360707000000005,45.849273920059204
100,hill_climbing,10186.0,10000,186.0,0.08513000000000001,0.08607292175292969
100,simulated_annealing,10191.0,10000,191.0,0.03765799999999997,0.03790903091430664
