Graph Size,Average Cost,Cost Std Dev,Cost Max,Cost Min,Average Nodes Expanded,Nodes Std Dev,Nodes Max,Nodes Min,Average CPU Time,CPU Std Dev,CPU Max,CPU Min,Average Real Time,Real Time Std Dev,Real Time Max,Real Time Min
85,107.73333333333333,17.17931572819153,142.0,71.0,10000.0,0.0,10000,10000,0.6366157,0.02419444167593045,0.739226,0.602722,0.6447738329569499,0.030344578209607332,0.7453198432922363,0.6062588691711426
90,109.36666666666666,20.419734463394857,143.0,68.0,10000.0,0.0,10000,10000,0.6735939000000001,0.021031298112337237,0.734479,0.652006,0.6836698611577352,0.03873105835463384,0.81233811378479,0.653069019317627
95,105.9,21.629224057587766,139.0,60.0,10000.0,0.0,10000,10000,0.7151658666666666,0.01844127478191849,0.756763,0.694771,0.7208439747492472,0.021815530256338356,0.7723908424377441,0.6957130432128906
100,96.06666666666666,17.450756112240203,137.0,66.0,10000.0,0.0,10000,10000,0.7525246666666668,0.009666240066448903,0.782852,0.736747,0.756977128982544,0.02021498924611422,0.8550851345062256,0.7381289005279541
105,105.16666666666667,15.275434163678913,139.0,79.0,10000.0,0.0,10000,10000,0.8028997,0.007332563636046181,0.819236,0.788606,0.8054113308588664,0.008771020831375995,0.8338170051574707,0.7903149127960205
110,90.86666666666666,17.557018223174715,118.0,61.0,10000.0,0.0,10000,10000,0.8506734666666665,0.007799150405581945,0.876908,0.842649,0.853031063079834,0.009293832823460238,0.8900761604309082,0.8439280986785889
115,100.56666666666666,23.31763757807,145.0,57.0,10000.0,0.0,10000,10000,0.9070214999999998,0.012500362146087332,0.942381,0.891252,0.9134939829508464,0.020607470959048062,0.9817781448364258,0.8933291435241699
120,99.43333333333334,16.245375410319767,125.0,61.0,10000.0,0.0,10000,10000,0.9594173666666667,0.011179727064299122,0.9898849999999999,0.946173,0.9670687278111776,0.02246887802522289,1.0270578861236572,0.9473798274993896
125,98.63333333333334,16.547876668087124,124.0,73.0,10000.0,0.0,10000,10000,1.0082085666666665,0.006342476412692081,1.022802,0.998462,1.0099947929382325,0.006421305174971338,1.0252718925476074,1.0002601146697998
130,88.83333333333333,21.998611067267156,135.0,51.0,10000.0,0.0,10000,10000,1.0615887000000002,0.01040439709978429,1.098217,1.047671,1.0637502034505208,0.011438368981846584,1.1075849533081055,1.0492770671844482
135,98.23333333333333,21.259795128102454,138.0,52.0,10000.0,0.0,10000,10000,1.1223218000000001,0.022327510502218255,1.207161,1.100406,1.1306896607081096,0.03707364874550127,1.288560152053833,1.1010549068450928
140,96.63333333333334,16.938089883126988,130.0,62.0,10000.0,0.0,10000,10000,1.1812336333333335,0.02224777143818131,1.23862,1.1553900000000001,1.1941952308019002,0.03912865723707162,1.3169260025024414,1.1580891609191895
145,95.36666666666666,15.852409560974914,118.0,56.0,10000.0,0.0,10000,10000,1.248387466666667,0.02467608095941406,1.313797,1.218037,1.2654643058776855,0.04387828204608559,1.4132428169250488,1.2199552059173584
150,98.8,19.947263805678546,138.0,56.0,10000.0,0.0,10000,10000,1.28863,0.02136908645216263,1.355175,1.2593610000000002,1.2986888806025187,0.03190047507116317,1.392543077468872,1.2608458995819092
