Graph Size,Average Cost,Cost Std Dev,Cost Max,Cost Min,Average Nodes Expanded,Nodes Std Dev,Nodes Max,Nodes Min,Average CPU Time,CPU Std Dev,CPU Max,CPU Min,Average Real Time,Real Time Std Dev,Real Time Max,Real Time Min
60,807.7,55.3191648526982,1034.0,733.0,62.06666666666667,6.098815914221017,85,59,0.2846242666666667,0.017998488808662675,0.35872399999999993,0.27479999999999993,0.285999329884847,0.018213623283598643,0.36103391647338867,0.2754099369049072
65,872.3666666666667,55.216835194430416,977.0,742.0,68.23333333333333,9.02102482475738,99,64,0.39146393333333335,0.022549093838309518,0.5002869999999999,0.3789609999999999,0.39862890243530275,0.026855750574944895,0.507408857345581,0.38060903549194336
70,916.5666666666667,50.505896245444006,1046.0,818.0,70.36666666666666,3.92838672004453,87,69,0.5282551,0.0378225026391697,0.689085,0.506598,0.5366179466247558,0.03941675835929241,0.695854902267456,0.5097751617431641
75,933.4666666666667,58.6166832527699,1068.0,836.0,77.96666666666667,9.683261617634603,119,74,0.7022858666666667,0.11087235306655832,1.2925130000000002,0.666083,0.7094509919484456,0.11434386283388107,1.317533254623413,0.6672372817993164
80,962.0333333333333,63.368490242040295,1092.0,807.0,85.3,12.746633542495314,133,79,0.9092812,0.08749528086337005,1.2719650000000002,0.868699,0.9172662655512492,0.08858979724733503,1.283407211303711,0.8708040714263916
85,998.8333333333334,47.592074503593096,1095.0,887.0,87.63333333333334,11.169850292441502,142,84,1.1265071333333334,0.05242718263123515,1.3883069999999997,1.102643,1.1408031702041626,0.05398278845258906,1.392158031463623,1.1121001243591309
90,1034.3666666666666,41.84931965463185,1119.0,956.0,93.43333333333334,9.340532937448245,125,89,1.4290945999999998,0.09778377656973575,1.812652,1.381055,1.4415982961654663,0.09874111765333954,1.8230018615722656,1.3834302425384521
95,1058.2666666666667,58.06831226141232,1173.0,940.0,97.4,7.644605941446556,131,94,1.7622598333333328,0.09048555035182265,2.0322120000000004,1.7077859999999998,1.7739809592564901,0.09032405045764856,2.0417468547821045,1.7166199684143066
100,1085.0,54.91447896502342,1175.0,990.0,102.63333333333334,9.378995444905362,141,99,2.188311966666667,0.3239025649098283,3.868048,2.0681849999999997,2.195368520418803,0.3237001195894503,3.873807907104492,2.071153163909912
105,1107.6333333333334,61.133996724862975,1254.0,1028.0,111.4,12.629594873418018,145,104,2.6941540333333336,0.444836498508046,4.313054999999999,2.504988,2.7039779663085937,0.4442944009386865,4.318959951400757,2.508363723754883
110,1167.8666666666666,55.64274935295304,1302.0,1061.0,114.76666666666667,13.313360040033306,158,109,3.1053501999999997,0.32734278301340314,4.803948999999999,3.0094819999999998,3.113959813117981,0.327167754098411,4.809894800186157,3.013327121734619
115,1190.6333333333334,46.601490200302486,1293.0,1094.0,123.83333333333333,17.735244257942686,181,114,3.753875433333333,0.3183665550112201,4.78693,3.591992,3.7688599745432536,0.3167751311186979,4.796402931213379,3.5965912342071533
